word,standard_parses,modified_parses
солло,сор<n><abs.sg><conj>,сор<n><abs.sg><conj>
къгамкъгало,къгамкъга<n><abs.sg><conj>,къгамкъга<n><abs.sg><conj>
чІаккъгварало,чІакъгвара<n><abs.sg><conj>,чІакъгвара<n><abs.sg><conj>
бикІодду,<cl><sg>кІуду<verb><pf>,бикІуду<verb><pf>
Рабзур,Рабзу<n><obl.sg><cl><gen>,Рабзу<n><obl.sg><cl><gen>
хуру,хур<n><obl.sg><in>,хур<n><obl.sg><in>
себ,се<num><cl>,се<num><cl>
кьетІур,кьетІур<n><abs.sg>,кьетІур<n><abs.sg>
кьетІурола,кьетІур<n><obl.sg><sup.ess>,кьетІур<n><obl.sg><sup.ess>
бикІодду,<cl><sg>кІуду<verb><pf>,бикІуду<verb><pf>
къгамкъгулІи,къгамкъга<n><obl.sg><gen>,къгамкъга<n><obl.sg><gen>
бошенно,бешен<n><abs.sg><conj>,бешен<n><abs.sg><conj>
во,во<conj>,во<conj>
гьелълъу,гъеб<demonstrative>,гъеб<demonstrative>
лъобгу,лъоб<num><card>,лъоб<num><card>
бошило,боши<n><abs.sg><conj>,боши<n><abs.sg><conj>
гьер,гье<demonstrative><cl>,гье<demonstrative><cl>
хурукку,хур<n><obl.sg><in><el>,хур<n><obl.sg><in><el>
сер,се<num><cl>,се<num><cl>
зубу,зубу<n><abs.sg>,зубу<n><abs.sg>
бикІодду,<cl><sg>кІуду<verb><pf>,бикІуду<verb><pf>
булинно,<cl><sg>линну<verb><hab>,булинну<verb><hab>
сор,сор<n><abs.sg>,сор<n><abs.sg>
бошилло,боши<n><abs.pl><conj>,боши<n><abs.pl><conj>
гьакъгодду,гьакъиду<verb><cvb.pst>,гьакъиду<verb><cvb.pst>
сор,сор<n><abs.sg>,сор<n><abs.sg>
балидду,<cl>алиду<verb><pf>,балиду<verb><pf>
къгамкъгуло,къгамкъга<n><unk>,къгамкъга<n><unk>
гьор,гьо<demonstrative><cl>,гьо<demonstrative><cl>
хулло,хур<n><abs.sg><conj>,хур<n><abs.sg><conj>
дир,ди<pronoun><cl><gen>,ди<pronoun><cl><gen>
хурусси,хурусси<adj>,хурусси<adj>
кьетІулло,кьетІур<n><abs.sg><conj>,кьетІур<n><abs.sg><conj>
диб,ди<pronoun><cl><gen>,ди<pronoun><cl><gen>
кьетІулле,кьетІур<n><abs.sg><prt>,кьетІур<n><abs.sg><prt>
букьидйа,<cl><sg>къиду<verb><fut>,букъиду<verb><fut>
бошилле,боши<n><abs.pl><prt>,боши<n><abs.pl><prt>
кІолли ,кІол<n><obl.sg><in.lat>,кІол<n><obl.sg><in.lat>
щарйагъодду,щару<verb><fut><evid>,щару<verb><fut><evid>
кьетІулло,кьетІур<n><abs.sg><conj>,кьетІур<n><abs.sg><conj>
букъидду,<cl><sg>къиду<verb><cvb.pst>,букъиду<verb><cvb.pst>
бешен,бешен<n><abs.sg>,бешен<n><abs.sg>
биххолъичІигу,<cl>иххолъиду<verb><cvb.pst.neg>,биххолъиду<verb><cvb.pst.neg>
къгамкъгуди,къгамкъга<n><obl.sg><erg>,къгамкъга<n><obl.sg><erg>
себ-себхъи,се<num><cl><loc>,се<num><cl><loc>
энлІигу,эн<pronoun><gen><prt>,эн<pronoun><gen><prt>
лъобгуло,лъоб<num><card><conj>,лъоб<num><card><conj>
боши,боши<n><abs.sg>,боши<n><abs.sg>
соройо,сор<n><obl.sg><cl><aff>,сор<n><obl.sg><cl><aff>
кІолли,кІол<n><obl.sg><in.lat>,кІол<n><obl.sg><in.lat>
щардду,щару<verb><pf>,щару<verb><pf>
бошилло,боши<n><abs.pl><conj>,боши<n><abs.pl><conj>
кІаммидду,кІамму<verb><cvb.pst>,кІамму<verb><cvb.pst>
солло,сор<n><abs.sg><conj>,сор<n><abs.sg><conj>
гьербади,гьербади<adv>,гьербади<adv>
булондду,<cl><sg>линну<verb><pf>,булинну<verb><pf>
къгамкъга,къгамкъга<n><abs.sg>,къгамкъга<n><abs.sg>
золо,золо<adv>,золо<adv>
бигьу,<cl>игьу<adv>,бигьу<adv>
бекІулидду,<cl>окІулиду<verb><pf>,бекІулиду<verb><pf>
бошилихъи,боши<n><obl.pl><loc>,боши<n><obl.pl><loc>
къгамкъгулІи,къгамкъга<n><obl.sg><gen>,къгамкъга<n><obl.sg><gen>
рекІулир,рекІулир<n><abs.sg>,рекІулир<n><abs.sg>
анлъидду,анлъиду<verb><pf>,анлъиду<verb><pf>
чІакъгварубо,чІакъгвара<n><obl.sg><cl><aff>,чІакъгвара<n><obl.sg><cl><aff>
чІакъгваруди,чІакъгвара<n><obl.sg><erg>,чІакъгвара<n><obl.sg><erg>
рулІидду,рулІиду<verb><pf>,рулІиду<verb><pf>
къгамкъгухъи,къгамкъга<n><obl.sg><loc>,къгамкъга<n><obl.sg><loc>
гьинджелло,гьиндже<adv><conj>,гьиндже<adv><conj>
бикъгобор,<cl><sg>къгиду<verb><aor><cond>,бикъгиду<verb><aor><cond>
сорохъи,сор<n><obl.sg><loc>,сор<n><obl.sg><loc>
рулІогъо,рулІиду<verb><imp><evid>,рулІиду<verb><imp><evid>
анжиди,анжиди<n><abs.sg>,анжиди<n><abs.sg>
<unk>,джи<misc><unk><cond>,джи<misc><unk><cond>
кьетІур,кьетІур<n><abs.sg>,кьетІур<n><abs.sg>
букъогъодду,<cl><sg>къиду<verb><imp><evid>,букъиду<verb><imp><evid>
гьинджелло,гьиндже<adv><conj>,гьиндже<adv><conj>
бикъгодду,<cl><sg>къгиду<verb><pf>,бикъгиду<verb><pf>
сор,сор<n><abs.sg>,сор<n><abs.sg>
къгамкъгуди,къгамкъга<n><obl.sg><erg>,къгамкъга<n><obl.sg><erg>
рулІидду,рулІиду<verb><pf>,рулІиду<verb><pf>
гъегелхъи,гьегеб<pronoun><obl.sg><loc>,гьегеб<pronoun><obl.sg><loc>
чІакъгваруди,чІакъгвара<n><obl.sg><erg>,чІакъгвара<n><obl.sg><erg>
молълъийбкьо,молълъийду<verb><part.prs><how>,молълъийду<verb><part.prs><how>
соробо,сор<n><obl.sg><cl><aff>,сор<n><obl.sg><cl><aff>
цІиннидду,цІинну<verb><pf>,цІинну<verb><pf>
къгамкъгухъи,къгамкъга<n><obl.sg><loc>,къгамкъга<n><obl.sg><loc>
чІакъгваруди,чІакъгвара<n><obl.sg><erg>,чІакъгвара<n><obl.sg><erg>
молълъийибгъибло,молълъийду<verb><part.prs><prt><and>,молълъийду<verb><part.prs><prt><and>
реху,реху<conj>,реху<conj>
бехуду,<cl>ехуду<adv>,бехуду<adv>
гьегелчІу,гье<demonstrative><cont>,гье<demonstrative><cont>
булІидду,<cl>улІиду<verb><pf>,булІиду<verb><pf>
агъларир,Агълар<n><obl.sg><cl><gen>,Агълар<n><obl.sg><cl><gen>
чІорлІи,чІор<n><obl.sg><gen>,чІор<n><obl.sg><gen>
хуру,хур<n><obl.sg><in>,хур<n><obl.sg><in>
соробо,сор<n><obl.sg><cl><aff>,сор<n><obl.sg><cl><aff>
бисондду,<cl><sg>сонну<verb><pf>,бисонну<verb><pf>
чІчІидирсси,чІчІидунну<verb><part.prs>,чІчІидунну<verb><part.prs>
чІакъгвара,чІакъгвара<n><abs.sg>,чІакъгвара<n><abs.sg>
сор,сор<n><abs.sg>,сор<n><abs.sg>
балидду,<cl>алиду<verb><pf>,балиду<verb><pf>
бе,бе<intrj>,бе<intrj>
чІакъгвара,чІакъгвара<n><abs.sg>,чІакъгвара<n><abs.sg>
менни,мен<pronoun><erg>,мен<pronoun><erg>
гьор,гьо<demonstrative><cl>,гьо<demonstrative><cl>
багьу,багьу<adj>,багьу<adj>
макъган,макъган<n><abs.sg>,макъган<n><abs.sg>
ричомадо,<cl><sg>чинну<verb><progr>,ричинну<verb><progr>
кІоллокъиле,кІол<n><obl.pl><loc><prt>,кІол<n><obl.pl><loc><prt>
гьаркІобахкле,гьаркІу<n><obl.pl><loc><prt>,гьаркІу<n><obl.pl><loc><prt>
кІоллохъигъодду,кІол<n><obl.pl><loc><evid>,кІол<n><obl.pl><loc><evid>
балидду,<cl>алиду<verb><pf>,балиду<verb><pf>
чІакьгвара,чІакъгвара<n><abs.sg>,чІакъгвара<n><abs.sg>
гьекеллъибор,гье<demonstrative><cond>,гье<demonstrative><cond>
гьаркІобилло,гьаркІу<n><abs.pl><conj>,гьаркІу<n><abs.pl><conj>
къиннидду,къинну<verb><cvb.pst>,къинну<verb><cvb.pst>
гьантІикІобилло,гьантІикІа<n><abs.pl><conj>,гьантІикІа<n><abs.pl><conj>
дищидду,дишду<verb><cvb.pst>,дишду<verb><cvb.pst>
ричон,<cl><sg>чинну<verb><imp>,ричинну<verb><imp>
реху,реху<conj>,реху<conj>
менни,мен<pronoun><erg>,мен<pronoun><erg>
гьер,гье<demonstrative><cl>,гье<demonstrative><cl>
макъгангъодду,макъган<n><abs.sg><evid>,макъган<n><abs.sg><evid>
рулІидду,рулІиду<verb><pf>,рулІиду<verb><pf>
сороди,сор<n><obl.sg><erg>,сор<n><obl.sg><erg>
онщило,онщило<adv>,онщило<adv>
гъаркІобилло,гьаркІу<n><abs.pl><conj>,гьаркІу<n><abs.pl><conj>
къиннидду,къинну<verb><cvb.pst>,къинну<verb><cvb.pst>
гьантІикІобилло,гьантІикІа<n><abs.pl><conj>,гьантІикІа<n><abs.pl><conj>
дищидду,дишду<verb><cvb.pst>,дишду<verb><cvb.pst>
ричомадо,<cl><sg>чинну<verb><progr>,ричинну<verb><progr>
рикІодду,<cl><sg>кІуду<verb><pf>,рикІуду<verb><pf>
макъган,макъган<n><abs.sg>,макъган<n><abs.sg>
чІакъгваруди,чІакъгвара<n><obl.sg><erg>,чІакъгвара<n><obl.sg><erg>
лъибдду,лъибу<verb><cvb.pst>,лъибу<verb><cvb.pst>
сороди,сор<n><obl.sg><erg>,сор<n><obl.sg><erg>
кІолла,кІол<n><obl.sg><in>,кІол<n><obl.sg><in>
биччидду,<cl><sg>ччиду<verb><pf>,биччиду<verb><pf>
чІакъгвара,чІакъгвара<n><abs.sg>,чІакъгвара<n><abs.sg>
чІакъгваруди,чІакъгвара<n><obl.sg><erg>,чІакъгвара<n><obl.sg><erg>
рацІцІиндду,рацІцІинну<verb><pf>,рацІцІинну<verb><pf>
ден,ден<pronoun><abs>,ден<pronoun><abs>
кІолли,кІол<n><obl.sg><in.lat>,кІол<n><obl.sg><in.lat>
ир,и<pronoun><cl>,и<pronoun><cl>
зубуди,зубу<n><abs.sg><prt>,зубу<n><abs.sg><prt>
буккугъоддул,<cl>уккуду<verb><aor><evid>,буккуду<verb><aor><evid>
сороди,сор<n><obl.sg><erg>,сор<n><obl.sg><erg>
арбаъигъодду,арбаъи<n><abs.sg>,арбаъи<n><abs.sg>
рулІиргужа,рулІиду<verb><progr><cvb.prs>,рулІиду<verb><progr><cvb.prs>
тварруннидду,тваррунну<verb><cvb.pst>,тваррунну<verb><cvb.pst>
кІоллакку,кІол<n><obl.sg><in><el>,кІол<n><obl.sg><in><el>
бурдду,буру<verb><pf>,буру<verb><pf>
чІакъгвара,чІакъгвара<n><abs.sg>,чІакъгвара<n><abs.sg>
огь,огь<intrj>,огь<intrj>
рехуду,рехуду<prt>,рехуду<prt>
арбаъигъодду,арбаъи<n><abs.sg>,арбаъи<n><abs.sg>
рулІидду,рулІиду<verb><cvb.pst>,рулІиду<verb><cvb.pst>
рулІидду,рулІиду<verb><cvb.pst>,рулІиду<verb><cvb.pst>
солибол,сол<n><abs.pl>,сол<n><abs.pl>
бади,бади<adv>,бади<adv>
рочоммор,<cl><sg>чинну<verb><aor><cond>,рочинну<verb><aor><cond>
бикІогъодду,<cl><sg>кІуду<verb><aor><evid>,бикІуду<verb><aor><evid>
рулІидду,рулІиду<verb><pf>,рулІиду<verb><pf>
сороди,сор<n><obl.sg><erg>,сор<n><obl.sg><erg>
